,cue_type,condition_type,target_location,cue_direction,cond_type,random_order,fixation_dur,cB_version
0,parent_CJ,congruent,left,left,1,10,4.334863664,2
1,parent_CJ,congruent,right,right,1,9,5.17153054,2
2,parent_CJ,congruent,right,right,1,5,1.936701088,2
3,parent_CJ,neutral,right,neutral,3,33,3.076304579,2
4,parent_CJ,neutral,right,neutral,3,35,1.271657889,2
5,parent_CJ,congruent,right,right,1,17,8.064160662,2
6,parent_CJ,congruent,left,left,1,8,5.339320983,2
7,parent_CJ,incongruent,right,left,2,25,0.720460183,2
8,parent_CJ,congruent,right,right,1,19,1.42151331,2
9,parent_CJ,congruent,left,left,1,16,1.963016887,2
10,parent_CJ,neutral,left,neutral,3,38,4.197071953,2
11,parent_CJ,congruent,right,right,1,23,1.056649522,2
12,parent_CJ,neutral,right,neutral,3,31,1.23631633,2
13,parent_CJ,congruent,right,right,1,3,2.409692324,2
14,parent_CJ,congruent,left,left,1,18,3.409575112,2
15,parent_CJ,congruent,left,left,1,4,2.143858335,2
16,parent_CJ,neutral,right,neutral,3,39,0.184692361,2
17,parent_CJ,congruent,right,right,1,7,0.947578394,2
18,parent_CJ,congruent,left,left,1,22,4.743809355,2
19,parent_CJ,neutral,left,neutral,3,30,2.527915918,2
20,parent_CJ,congruent,right,right,1,21,6.858657635,2
21,parent_CJ,congruent,left,left,1,20,0.815968285,2
22,parent_CJ,neutral,left,neutral,3,32,5.475934583,2
23,parent_CJ,congruent,left,left,1,14,3.221219701,2
24,parent_CJ,congruent,right,right,1,11,2.361704845,2
25,parent_CJ,incongruent,right,left,2,27,2.986829027,2
26,parent_CJ,incongruent,left,right,2,28,1.070319688,2
27,parent_CJ,neutral,right,neutral,3,37,0.740053802,2
28,parent_CJ,incongruent,left,right,2,24,0.259063449,2
29,parent_CJ,incongruent,right,left,2,29,1.881822271,2
30,parent_CJ,congruent,left,left,1,0,1.445742484,2
31,parent_CJ,congruent,left,left,1,2,2.180512842,2
32,parent_CJ,incongruent,left,right,2,26,1.719832179,2
33,parent_CJ,congruent,right,right,1,15,1.99791878,2
34,parent_CJ,congruent,left,left,1,12,2.844496215,2
35,parent_CJ,neutral,left,neutral,3,34,4.732955058,2
36,parent_CJ,neutral,left,neutral,3,36,1.796827703,2
37,parent_CJ,congruent,right,right,1,1,3.312887924,2
38,parent_CJ,congruent,left,left,1,6,1.13325319,2
39,parent_CJ,congruent,right,right,1,13,7.00731095,2
