,cue_type,condition_type,target_location,cue_direction,cond_type,random_order,fixation_dur,cB_version
0,interest_JW,incongruent,left,right,2,28,2.10542201342,2
1,interest_JW,incongruent,right,left,2,27,3.22121970052,2
2,interest_JW,congruent,left,left,1,14,0.775675672595,2
3,interest_JW,congruent,right,right,1,1,3.66546587664,2
4,interest_JW,neutral,right,neutral,3,39,2.50742829041,2
5,interest_JW,congruent,right,right,1,9,15.5079230681,2
6,interest_JW,congruent,left,left,1,20,1.58004671353,2
7,interest_JW,incongruent,right,left,2,25,3.72692549524,2
8,interest_JW,congruent,right,right,1,5,4.41443687974,2
9,interest_JW,congruent,left,left,1,8,1.09996877985,2
10,interest_JW,neutral,left,neutral,3,36,3.44845546091,2
11,interest_JW,congruent,left,left,1,4,0.858708244541,2
12,interest_JW,congruent,right,right,1,3,5.66020367465,2
13,interest_JW,congruent,right,right,1,11,0.4630757711,2
14,interest_JW,neutral,left,neutral,3,34,0.184692361499,2
15,interest_JW,congruent,right,right,1,21,3.15791318116,2
16,interest_JW,neutral,right,neutral,3,35,2.80931101185,2
17,interest_JW,neutral,left,neutral,3,30,3.84125335115,2
18,interest_JW,congruent,left,left,1,10,1.19724193054,2
19,interest_JW,congruent,left,left,1,16,0.981297712663,2
20,interest_JW,neutral,right,neutral,3,37,5.38704075591,2
21,interest_JW,congruent,right,right,1,7,3.41307230839,2
22,interest_JW,congruent,right,right,1,23,1.73029462888,2
23,interest_JW,incongruent,right,left,2,29,3.72692549524,2
24,interest_JW,congruent,right,right,1,15,6.27305561766,2
25,interest_JW,congruent,left,left,1,6,1.98525830693,2
26,interest_JW,incongruent,left,right,2,26,1.26109825061,2
27,interest_JW,congruent,left,left,1,18,0.299001695727,2
28,interest_JW,congruent,left,left,1,22,2.91797515275,2
29,interest_JW,neutral,right,neutral,3,31,0.558093347524,2
30,interest_JW,congruent,left,left,1,2,2.19666388212,2
31,interest_JW,neutral,left,neutral,3,38,3.74188868749,2
32,interest_JW,congruent,right,right,1,17,3.73872491141,2
33,interest_JW,neutral,left,neutral,3,32,0.598148420952,2
34,interest_JW,congruent,right,right,1,13,1.54336333076,2
35,interest_JW,congruent,left,left,1,0,6.69756152293,2
36,interest_JW,incongruent,left,right,2,24,0.531469767379,2
37,interest_JW,neutral,right,neutral,3,33,1.14230604717,2
38,interest_JW,congruent,right,right,1,19,0.457564432902,2
39,interest_JW,congruent,left,left,1,12,0.593828247112,2
