,cue_type,condition_type,target_location,cue_direction,cond_type,random_order,fixation_dur,cB_version
0,parent_JW,congruent,left,left,1,20,3.239512466,1
1,parent_JW,congruent,left,left,1,6,1.246404093,1
2,parent_JW,incongruent,left,right,2,24,6.487327622,1
3,parent_JW,neutral,right,neutral,3,39,5.980679363,1
4,parent_JW,neutral,right,neutral,3,31,1.681768024,1
5,parent_JW,congruent,left,left,1,8,3.413072308,1
6,parent_JW,congruent,left,left,1,10,3.586728056,1
7,parent_JW,congruent,right,right,1,5,0.663726416,1
8,parent_JW,incongruent,left,right,2,26,5.684273383,1
9,parent_JW,congruent,right,right,1,13,2.607119062,1
10,parent_JW,congruent,right,right,1,17,6.33989764,1
11,parent_JW,neutral,right,neutral,3,33,1.942525586,1
12,parent_JW,congruent,right,right,1,11,0.720797102,1
13,parent_JW,congruent,left,left,1,22,2.697355507,1
14,parent_JW,incongruent,left,right,2,28,1.016383459,1
15,parent_JW,congruent,right,right,1,23,1.431723936,1
16,parent_JW,congruent,right,right,1,21,0.858182336,1
17,parent_JW,neutral,right,neutral,3,37,2.10324516,1
18,parent_JW,congruent,left,left,1,2,2.966601184,1
19,parent_JW,congruent,right,right,1,7,0.349688891,1
20,parent_JW,incongruent,right,left,2,25,2.360484657,1
21,parent_JW,congruent,left,left,1,4,1.580970415,1
22,parent_JW,incongruent,right,left,2,27,4.909812312,1
23,parent_JW,congruent,right,right,1,9,5.289527891,1
24,parent_JW,congruent,left,left,1,14,1.379254798,1
25,parent_JW,neutral,left,neutral,3,36,0.598148421,1
26,parent_JW,congruent,right,right,1,1,1.157845523,1
27,parent_JW,incongruent,right,left,2,29,1.083075047,1
28,parent_JW,congruent,left,left,1,12,4.717626773,1
29,parent_JW,neutral,left,neutral,3,34,4.434232136,1
30,parent_JW,neutral,left,neutral,3,32,1.075188338,1
31,parent_JW,congruent,left,left,1,0,1.907670528,1
32,parent_JW,congruent,left,left,1,18,7.001671335,1
33,parent_JW,congruent,right,right,1,19,1.592880971,1
34,parent_JW,neutral,left,neutral,3,30,1.819127071,1
35,parent_JW,neutral,left,neutral,3,38,0.612585009,1
36,parent_JW,neutral,right,neutral,3,35,0.858182336,1
37,parent_JW,congruent,right,right,1,3,5.980688551,1
38,parent_JW,congruent,right,right,1,15,2.377469833,1
39,parent_JW,congruent,left,left,1,16,4.246546463,1
